model,scenario,region,variable,unit,year,value,Category,Ssp_family
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800,EU28,Secondary Energy|Electricity,EJ/yr,2050,27.5494,C3,2.0
IMAGE 3.2,SSP2_SPA2_19I_LIRE,EU28,Secondary Energy|Electricity,EJ/yr,2050,17.080326912,C2,2.0
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,EU28,Secondary Energy|Electricity,EJ/yr,2050,27.3726,C1,2.0
GEM-E3_V2021,EN_NPi2020_600,EU28,Secondary Energy|Electricity,EJ/yr,2050,20.09209601190098,C2,2.0
GCAM 5.3,R_MAC_70_n8,EU28,Secondary Energy|Electricity,EJ/yr,2050,23.0846644224,C3,2.0
REMIND 2.1,CEMICS_GDPgrowth_2C,EU28,Secondary Energy|Electricity,EJ/yr,2050,19.7378,C3,2.0
GCAM 5.3,R_MAC_40_n8,EU28,Secondary Energy|Electricity,EJ/yr,2050,29.723637668955,C1,2.0
WITCH 5.0,EN_NPi2020_500,EU28,Secondary Energy|Electricity,EJ/yr,2050,31.998754285385502,C1,2.0
REMIND 2.1,LeastTotalCost_CEA_brkSR15_SSP2_P50,EU28,Secondary Energy|Electricity,EJ/yr,2050,22.0253,C3,2.0
GEM-E3_V2021,EN_INDCi2030_600f_COV,EU28,Secondary Energy|Electricity,EJ/yr,2050,17.693571435414004,C2,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,EU28,Secondary Energy|Electricity,EJ/yr,2050,26.8498,C1,2.0
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,EU28,Secondary Energy|Electricity,EJ/yr,2050,23.1978,C2,2.0
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,EU28,Secondary Energy|Electricity,EJ/yr,2050,22.5527,C1,2.0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,EU28,Secondary Energy|Electricity,EJ/yr,2050,25.6539,C2,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,EU28,Secondary Energy|Electricity,EJ/yr,2050,25.5346,C3,2.0
TIAM-ECN 1.1,EN_INDCi2030_900f,EU28,Secondary Energy|Electricity,EJ/yr,2050,20.646456754739823,C3,2.0
GCAM 5.3,R_MAC_50_n8,EU28,Secondary Energy|Electricity,EJ/yr,2050,28.918852805356,C1,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000,EU28,Secondary Energy|Electricity,EJ/yr,2050,24.3868,C3,2.0
