model,scenario,region,variable,unit,year,value,Category,Ssp_family
IMAGE 3.2,SSP2_SPA2_26I_RE,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,972.2053409506564,C3,2.0
WITCH 5.0,EN_NPi2020_2000,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1289.388268513898,C5,2.0
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-37.52205703334221,C2,2.0
WITCH 5.0,EN_INDCi2030_800f_NDCp,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-1459.45531388331,C3,2.0
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1800_NDCp,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,6598.170267875857,C5,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000f_COV,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1055.4918,C3,2.0
COFFEE 1.1,EN_NPi2020_1600,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,3436.827760000001,C5,2.0
IMAGE 3.2,SSP2_SPA2_26I_LI,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,3381.058713107713,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV_NDCp,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,3051.5615,C5,2.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_900,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,411.9419097575325,C3,2.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_COV,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,3165.457880093086,C3,2.0
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,264.0121,C1,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1200f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1275.3194,C3,2.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,100.2187924255316,C2,2.0
POLES ADVANCE,ADVANCE_INDC,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,7488.49,C5,2.0
REMIND 2.1,R2p1_SSP2-NDC,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,3429.32,C5,2.0
COFFEE 1.1,EN_INDCi2030_600,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-136.8671725,C3,2.0
TIAM-ECN 1.1,EN_NPi2020_800f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-2782.3643,C3,2.0
WITCH 5.0,EN_NPi2020_800,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-2383.530564774524,C3,2.0
GEM-E3_V2021,EN_NPi2020_1000f_COV,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,159.5506556952699,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1200,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1285.6466,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,416.1203,C1,2.0
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_cost100,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-121.557265364404,C2,2.0
POLES ENGAGE,EN_NPi2020_1400f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,4741.9013671875,C5,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1800,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,2518.3296,C5,2.0
GCAM 5.3,R_MAC_65_n0,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,35.724778555491596,C3,2.0
REMIND 1.7,ADVANCE_2020_Med2C,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1293.4338,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,3057.9307,C5,2.0
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_no-transfer_def,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1401.9217,C3,2.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,155.2814315629329,C2,2.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,27.32574622543105,C1,2.0
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1109.0441,C3,2.0
WITCH 5.0,CO_GPP,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1156.608253688344,C5,2.0
POLES EMF30,EMF30_Slower-to-faster,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-3986.22125,C2,2.0
