model,scenario,region,variable,unit,year,value,study
TIAM_Grantham,NDC_LTT_limBIO,EU28,Secondary Energy|Electricity,EJ/yr,2045,25.397582731644036,Study_3
TIAM_Grantham,NDC_LTT_limBIO,EU28,Secondary Energy|Electricity,EJ/yr,2050,26.990761169509483,Study_3
TIAM_Grantham,NDC_LTT_limCCS,EU28,Secondary Energy|Electricity,EJ/yr,2005,12.03143219524272,Study_3
TIAM_Grantham,NDC_LTT_limCCS,EU28,Secondary Energy|Electricity,EJ/yr,2010,12.119613596287246,Study_3
TIAM_Grantham,NDC_LTT_limCCS,EU28,Secondary Energy|Electricity,EJ/yr,2015,13.125075196618122,Study_3
TIAM_Grantham,NDC_LTT_limCCS,EU28,Secondary Energy|Electricity,EJ/yr,2020,12.801633268293081,Study_3
TIAM_Grantham,NDC_LTT_limCCS,EU28,Secondary Energy|Electricity,EJ/yr,2025,13.659047691357053,Study_3
TIAM_Grantham,NDC_LTT_limCCS,EU28,Secondary Energy|Electricity,EJ/yr,2030,15.15497603559318,Study_3
TIAM_Grantham,NDC_LTT_limCCS,EU28,Secondary Energy|Electricity,EJ/yr,2035,19.30323404129121,Study_3
TIAM_Grantham,NDC_LTT_limCCS,EU28,Secondary Energy|Electricity,EJ/yr,2040,22.4342620089228,Study_3
TIAM_Grantham,NDC_LTT_limCCS,EU28,Secondary Energy|Electricity,EJ/yr,2045,25.70968599235737,Study_3
TIAM_Grantham,NDC_LTT_limCCS,EU28,Secondary Energy|Electricity,EJ/yr,2050,28.47754410969568,Study_3
TIAM_Grantham,NDC_LTT_limRES,EU28,Secondary Energy|Electricity,EJ/yr,2005,12.03143219524272,Study_3
TIAM_Grantham,NDC_LTT_limRES,EU28,Secondary Energy|Electricity,EJ/yr,2010,12.119613596287246,Study_3
TIAM_Grantham,NDC_LTT_limRES,EU28,Secondary Energy|Electricity,EJ/yr,2015,13.125075196618122,Study_3
TIAM_Grantham,NDC_LTT_limRES,EU28,Secondary Energy|Electricity,EJ/yr,2020,12.801633268293081,Study_3
TIAM_Grantham,NDC_LTT_limRES,EU28,Secondary Energy|Electricity,EJ/yr,2025,13.659047691357053,Study_3
TIAM_Grantham,NDC_LTT_limRES,EU28,Secondary Energy|Electricity,EJ/yr,2030,16.46795211705679,Study_3
TIAM_Grantham,NDC_LTT_limRES,EU28,Secondary Energy|Electricity,EJ/yr,2035,18.004168750160567,Study_3
TIAM_Grantham,NDC_LTT_limRES,EU28,Secondary Energy|Electricity,EJ/yr,2040,19.765929404667883,Study_3
TIAM_Grantham,NDC_LTT_limRES,EU28,Secondary Energy|Electricity,EJ/yr,2045,22.056459104709887,Study_3
TIAM_Grantham,NDC_LTT_limRES,EU28,Secondary Energy|Electricity,EJ/yr,2050,22.448822911531316,Study_3
